1360
1352,81;950
1352,81;1343
731,950,1343;1352
731,950,1343;81
771,421,886;904
771,421,886;90
771,421,886;922
817;1251
1251;817
266,771,886;904
266,771,886;922
266,771,886;747
904,922,747;266
904,922,747;771
904,922,747;886
933,6;417
933,6;797
928,972;944
928,972;705
944,705;928
944,705;972
889,675;1300
889,675;607
1008,57,731;1210
1008,57,731;691
1210,691;1008
1210,691;57
1210,691;731
922;414
414;922
438;848
848;438
848,707;704
848,707;886
161,731,1109,1343;81
161,731,1109,1343;930
161,731,1109,1343;1150
806;660
660;806
581,699,1155,5;722
581,699,1155,5;179
581,699,1155,5;370
581,699,1155,5;1119
922;621
621;922
972,28;944
972,28;610
944,610;972
944,610;28
1120,3,675,310;128
1120,3,675,310;1188
1120,3,675,310;477
1120,3,675,310;942
833,730;888
833,730;731
833,730;231
81,1317,686;896
81,1317,686;731
81,1317,686;1343
896,731,1343;81
896,731,1343;1317
896,731,1343;686
1200,675;3
1200,675;607
637,247;522
637,247;1268
702;1108
1108;702
848,259;1066
848,259;886
1288,1346;415
1288,1346;777
1288,1346;1119
848,1123;77
848,1123;886
691,636,1150;1008
691,636,1150;731
691,636,1150;84
1008,731,84;691
1008,731,84;636
1008,731,84;1150
675,846;98
675,846;607
1120,675,911,310,859;128
1120,675,911,310,859;1188
1120,675,911,310,859;1114
1120,675,911,310,859;477
1120,675,911,310,859;894
972,461;944
972,461;428
944,428;972
944,428;461
1296,1112;795
1296,1112;740
1296,1112;687
314,854;104
314,854;347
7;550
125,197;451
125,197;509
125,197;1071
140,876;614
140,876;38
614,38;140
614,38;876
1048,1055;152
1048,1055;938
152,938;1048
152,938;1055
1112,818;108
1112,818;1004
1112,818;687
717,1150;904
717,1150;457
717,1150;731
848,747;1238
848,747;886
1208,296,1356;798
1208,296,1356;327
475;365
365;475
81,52,1150;1330
81,52,1150;731
81,52,1150;1343
972,421;944
972,421;390
944,390;972
944,390;421
1120,450,675,911,310;128
1120,450,675,911,310;1188
1120,450,675,911,310;1114
1120,450,675,911,310;477
1120,450,675,911,310;894
102;1191
675,693;942
675,693;607
305,436;145
305,436;599
150;97
97;150
689;979
979;689
354;78
78;354
1150,79;842
1150,79;751
1112,1004;249
1112,1004;687
1112,1004;1175
368;403
997;79
1112,897;795
1112,897;381
1112,897;687
115;229
229;115
99,876;38
38;99
38;876
760,161,1150;291
760,161,1150;29
760,161,1150;974
1051,388;176
1051,388;310
420;535
530,1051,1188;310
530,1051,1188;539
